# GOAE-Leistungskatalog fuer den Abrechnungskalkulator
#
# Quelle: Gebührenordnung für Ärzte (GOÄ)
#   amtliche Fassung von "Gesetze im Internet"
#   https://www.gesetze-im-internet.de/go__1982/
#   Datei BJNR015220982.xml, abgerufen 2026-05-14
# Stand: Neugefasst durch Bek. v. 9.2.1996 I 210; zuletzt geändert durch Art. 3b G v. 19.7.2023 I Nr. 197
#
# Erzeugt mit werkzeuge/katalog_erzeugen.py - nicht von Hand aendern.
# Eigene Ziffern gehoeren in eine zusaetzliche Datei und werden mit
#   kalkulator.py katalog-import <datei.csv>
# eingespielt.
#
# Der Eurobetrag ergibt sich nach § 5 Abs. 1 GOAE aus
#   Punktzahl x 0,0582873 EUR x Steigerungsfaktor.
# Die Betragsspalte des amtlichen Verzeichnisses ist noch in DM gefuehrt und
# daher hier nicht enthalten.
#
# Spalten:
#   nummer        GOAE-Nummer
#   bezeichnung   Leistungslegende (Leerzeichen normiert, sonst unveraendert)
#   punktzahl     Punktzahl nach dem Gebuehrenverzeichnis
#   abschnitt     Abschnitt B bis P des Gebuehrenverzeichnisses
#   klasse        Steigerungsklasse nach § 5 GOAE:
#                   aerztlich  Abs. 2  - Regelsatz 2,3   Hoechstsatz 3,5
#                   technisch  Abs. 3  - Regelsatz 1,8   Hoechstsatz 2,5
#                              (Abschnitte A, E und O)
#                   labor      Abs. 4  - Regelsatz 1,15  Hoechstsatz 1,3
#                              (Abschnitt M und Nummer 437)
#   regelsatz     Schwellenwert; darueber ist eine Begruendung noetig (§ 12 GOAE)
#   hoechstsatz   Hoechstsatz der Steigerungsklasse
#   herkunft      direkt = Punktzahl steht im Verzeichnis bei dieser Nummer
#                 sammel = Nummer gehoert zu einer Sammelposition; die Punktzahl
#                          steht in deren Ueberschrift ("... je Messgroesse 70
#                          7,98 Katalog 3512 ... 3514 Glukose ...")
nummer;bezeichnung;punktzahl;abschnitt;klasse;regelsatz;hoechstsatz;herkunft
1075;Vaginale Behandlung - auch einschließlich Einbringung von Arzneimitteln in die Gebärmutter, Ätzung des Gebärmutterhalses und/oder Behandlung von Portioerosionen -;45;H;aerztlich;2.3;3.5;direkt
1080;Entfernung eines Fremdkörpers aus der Scheide eines Kindes;106;H;aerztlich;2.3;3.5;direkt
1081;Ausstopfung der Scheide zur Blutstillung, als selbständige Leistung;59;H;aerztlich;2.3;3.5;direkt
1082;Ausstopfung der Gebärmutter - gegebenenfalls einschließlich Scheide - zur Blutstillung, als selbständige Leistung;178;H;aerztlich;2.3;3.5;direkt
1083;Kauterisation an der Portio und/oder der Zervix, als selbständige Leistung;70;H;aerztlich;2.3;3.5;direkt
1084;Thermokoagulation an der Portio und/oder der Zervix, als selbständige Leistung;118;H;aerztlich;2.3;3.5;direkt
1085;Kryochirurgischer Eingriff im Vaginalbereich, als selbständige Leistung;296;H;aerztlich;2.3;3.5;direkt
1086;Konisation der Portio;296;H;aerztlich;2.3;3.5;direkt
1087;Einlegen oder Wechseln eines Ringes oder Anlegen eines Portio-Adapters;55;H;aerztlich;2.3;3.5;direkt
1088;Lageverbesserung der Gebärmutter mit Einlegen eines Ringes;93;H;aerztlich;2.3;3.5;direkt
1089;Operative Entfernung eines eingewachsenen Ringes aus der Scheide;463;H;aerztlich;2.3;3.5;direkt
1090;Einlegen oder Wechseln eines Okklusivpessars;52;H;aerztlich;2.3;3.5;direkt
1091;Einlegen oder Wechseln eines Intrauterinpessars;106;H;aerztlich;2.3;3.5;direkt
1092;Entfernung eines Intrauterinpessars;52;H;aerztlich;2.3;3.5;direkt
1095;Operative Reposition der umgestülpten Gebärmutter;2310;H;aerztlich;2.3;3.5;direkt
1096;Erweiterung des Gebärmutterhalses durch Dehnung;148;H;aerztlich;2.3;3.5;direkt
1097;Erweiterung des Gebärmutterhalses durch Schnitt - gegebenenfalls einschließlich Naht -;296;H;aerztlich;2.3;3.5;direkt
1098;Durchtrennung oder Sprengung eines stenosierenden Narbenstranges der Scheide;296;H;aerztlich;2.3;3.5;direkt
1099;Operative Behandlung der Hämato- oder Pyometra;647;H;aerztlich;2.3;3.5;direkt
1102;Entfernung eines oder mehrerer Polypen und/oder Abrasio aus dem Gebärmutterhals oder dem Muttermund;148;H;aerztlich;2.3;3.5;direkt
1103;Probeexzision aus dem Gebärmutterhals und/oder dem Muttermund und/oder der Vaginalwand - gegebenenfalls einschließlich Abrasio und auch einschließlich Entfernung eines oder mehrerer Polypen -;185;H;aerztlich;2.3;3.5;direkt
1104;Ausschabung und/oder Absaugung der Gebärmutterhöhle einschließlich Ausschabung des Gebärmutterhalses - gegebenenfalls auch mit Probeexzision aus Gebärmutterhals und/oder Muttermund und/oder Vaginalwand sowie gegebenenfalls einschließlich Entfernung eines oder mehrerer Polypen -;647;H;aerztlich;2.3;3.5;direkt
1105;Gewinnung von Zellmaterial aus der Gebärmutterhöhle und Aufbereitung zur zytologischen Untersuchung - einschließlich Kosten -;180;H;aerztlich;2.3;3.5;direkt
1110;Hysteroskopie;444;H;aerztlich;2.3;3.5;direkt
1111;Hysteroskopie mit zusätzlichem(n) operativem(n) Eingriff(en);739;H;aerztlich;2.3;3.5;direkt
1112;Tubendurchblasung;296;H;aerztlich;2.3;3.5;direkt
1113;Tubendurchblasung mit Druckschreibung;420;H;aerztlich;2.3;3.5;direkt
1114;Insemination - auch einschließlich Konservierung und Aufbereitung des Samens -;370;H;aerztlich;2.3;3.5;direkt
1120;Operation eines alten unvollkommenen Dammrisses - auch einschließlich Naht von Einrissen der Vulva und/oder Vagina -;647;H;aerztlich;2.3;3.5;direkt
1121;Operation eines alten vollkommenen Dammrisses;1660;H;aerztlich;2.3;3.5;direkt
1122;Operation eines alten Gebärmutterhalsrisses;739;H;aerztlich;2.3;3.5;direkt
1123;Plastische Operation bei teilweisem Verschluß der Scheide;2770;H;aerztlich;2.3;3.5;direkt
1123a;Plastische Operation zur Öffnung der Scheide bei anogenitaler Fehlbildung im Kindesalter;2270;H;aerztlich;2.3;3.5;direkt
1124;Plastische Operation bei gänzlichem Fehlen der Scheide;3700;H;aerztlich;2.3;3.5;direkt
1125;Vordere Scheidenplastik;924;H;aerztlich;2.3;3.5;direkt
1126;Hintere Scheidenplastik mit Beckenbodenplastik;1290;H;aerztlich;2.3;3.5;direkt
1127;Vordere und hintere Scheidenplastik mit Beckenbodenplastik;1660;H;aerztlich;2.3;3.5;direkt
1128;Scheiden- und Portioplastik - gegebenenfalls auch mit Zervixamputation mit Elevation des Uterus auf vaginalem Wege (z.B. Manchester-Fothergill, Interposition), auch mit Beckenbodenplastik -;2220;H;aerztlich;2.3;3.5;direkt
1129;Plastische Operation am Gebärmutterhals und/oder operative Korrektur einer Isthmusinsuffizienz des Uterus (z.B. nach Shirodkar);739;H;aerztlich;2.3;3.5;direkt
1131;Operative Entfernung eines Stützbandes oder einer Metallnaht nach Isthmusinsuffizienzoperation;379;H;aerztlich;2.3;3.5;direkt
1135;Zervixamputation;554;H;aerztlich;2.3;3.5;direkt
1136;Vordere und/oder hintere Kolpozöliotomie - auch Eröffnung eines Douglas-Abszesses -, als selbständige Leistung;379;H;aerztlich;2.3;3.5;direkt
1137;Vaginale Myomenukleation;1290;H;aerztlich;2.3;3.5;direkt
1138;Vaginale oder abdominale Totalexstirpation des Uterus ohne Adnexentfernung;2770;H;aerztlich;2.3;3.5;direkt
1139;Vaginale oder abdominale Totalexstirpation des Uterus mit Adnexentfernung;3330;H;aerztlich;2.3;3.5;direkt
1140;Operative Behandlung einer konservativ unstillbaren Nachblutung nach vaginaler Uterusoperation;333;H;aerztlich;2.3;3.5;direkt
1141;Operation im Vaginal- oder Vulvabereich (z.B. Exstirpation von Vaginalzysten oder Bartholinischen Zysten oder eines Scheidenseptums);554;H;aerztlich;2.3;3.5;direkt
1145;Ovarektomie, Ovariotomie, Salpingektomie, Salpingotomie, Salpingolyse und/oder Neoostomie durch vaginale oder abdominale Eröffnung der Bauchhöhle, einseitig;1660;H;aerztlich;2.3;3.5;direkt
1146;Ovarektomie, Ovariotomie, Salpingektomie, Salpingotomie, Salpingolyse und/oder Neoostomie durch vaginale oder abdominale Eröffnung der Bauchhöhle, beidseitig;2220;H;aerztlich;2.3;3.5;direkt
1147;Antefixierende Operation des Uterus mit Eröffnung der Bauchhöhle;1480;H;aerztlich;2.3;3.5;direkt
1148;Plastische Operation bei Tubensterilität (z.B. Implantation, Anastomose), einseitig;2500;H;aerztlich;2.3;3.5;direkt
1149;Plastische Operation bei Tubensterilität (z.B. Implantation, Anastomose), beidseitig;3500;H;aerztlich;2.3;3.5;direkt
1155;Pelviskopie mit Anlegen eines druckkontrollierten Pneumoperitoneums und Anlegen eines Portioadapters - gegebenenfalls einschließlich Probeexzision und/oder Probepunktion -;800;H;aerztlich;2.3;3.5;direkt
1156;Pelviskopie mit Anlegen einer druckkontrollierten Pneumoperitoneums und Anlegen eines Portioadapters einschließlich Durchführung intraabdominaler Eingriffe - gegebenenfalls einschließlich Probeexzision und/oder Probepunktion -;1050;H;aerztlich;2.3;3.5;direkt
1158;Kuldoskopie - auch mit operativen Eingriffen -;739;H;aerztlich;2.3;3.5;direkt
1159;Abtragung großer Geschwülste der äußeren Geschlechtsteile - auch Vulvektomie -;1660;H;aerztlich;2.3;3.5;direkt
1160;Operative Beseitigung von Uterusmißbildungen (z.B. Uterus bicornis, Uterus subseptus);2770;H;aerztlich;2.3;3.5;direkt
1161;Uterusamputation, supravaginal;1480;H;aerztlich;2.3;3.5;direkt
1162;Abdominale Myomenukleation;1850;H;aerztlich;2.3;3.5;direkt
1163;Fisteloperation an den Geschlechtsteilen - gegebenenfalls einschließlich der Harnblase und/oder Operation einer Darmscheiden- oder Darmharnröhrenfistel auch mit hinterer Scheidenplastik und Beckenbodenplastik -;2770;H;aerztlich;2.3;3.5;direkt
1165;Radikaloperation des Scheiden- und Vulvakrebses;3140;H;aerztlich;2.3;3.5;direkt
1166;Radikaloperation des Zervixkrebses, vaginal oder abdominal, mit Entfernung der regionären Lymphknoten;4620;H;aerztlich;2.3;3.5;direkt
1167;Radikaloperation des Zervixkrebses, abdominal, mit Entfernung der Lymphstromgebiete, auch paraaortal;4900;H;aerztlich;2.3;3.5;direkt
1168;Exenteration des kleinen Beckens;5900;H;aerztlich;2.3;3.5;direkt
1200;Subjektive Refraktionsbestimmung mit sphärischen Gläsern;59;I;aerztlich;2.3;3.5;direkt
1201;Subjektive Refraktionsbestimmung mit sphärisch-zylindrischen Gläsern;89;I;aerztlich;2.3;3.5;direkt
1202;Objektive Refraktionsbestimmung mittels Skiaskopie oder Anwendung eines Refraktometers;74;I;aerztlich;2.3;3.5;direkt
1203;Messung der Maximal- oder Gebrauchsakkommodation mittels Akkommodometer oder Optometer;60;I;aerztlich;2.3;3.5;direkt
1204;Messung der Hornhautkrümmungsradien;45;I;aerztlich;2.3;3.5;direkt
1207;Prüfung von Mehrstärken- oder Prismenbrillen mit Bestimmung der Fern- und Nahpunkte bei subjektiver Brillenunverträglichkeit;70;I;aerztlich;2.3;3.5;direkt
1209;Nachweis der Tränensekretionsmenge (z.B. Schirmer-Test);20;I;aerztlich;2.3;3.5;direkt
1210;Erstanpassung und Auswahl der Kontaktlinse (Haftschale) für ein Auge zum Zwecke der Verordnung - einschließlich objektiver Refraktionsbestimmung, Messung der Hornhautradien und der Spaltlampenmikroskopie -;228;I;aerztlich;2.3;3.5;direkt
1211;Erstanpassung und Auswahl der Kontaktlinsen (Haftschalen) für beide Augen zum Zwecke der Verordnung - einschließlich objektiver Refraktionsbestimmung, Messung der Hornhautradien und der Spaltlampenmikroskopie -;300;I;aerztlich;2.3;3.5;direkt
1212;Prüfung auf Sitz und Funktion der verordneten Kontaktlinse (Haftschale) für ein Auge und gegebenenfalls Anpassung einer anderen Kontaktlinse (Haftschale) - einschließlich objektiver Refraktionsbestimmung, Messung der Hornhautradien und der Spaltlampenmikroskopie -;132;I;aerztlich;2.3;3.5;direkt
1213;Prüfung auf Sitz und Funktion der verordneten Kontaktlinsen (Haftschalen) für beide Augen und gegebenenfalls Anpassung anderer Kontaktlinsen (Haftschalen) - einschließlich objektiver Refraktionsbestimmung, Messung der Hornhautradien und der Spaltlampenmikroskopie -;198;I;aerztlich;2.3;3.5;direkt
1215;Bestimmung von Fernrohrbrillen oder Lupenbrillen, je Sitzung;121;I;aerztlich;2.3;3.5;direkt
1216;Untersuchung auf Heterophorie bzw. Strabismus - gegebenenfalls einschließlich qualitativer Untersuchung des binokularen Sehaktes -;91;I;aerztlich;2.3;3.5;direkt
1217;Qualitative und quantitative Untersuchung des binokularen Sehaktes;242;I;aerztlich;2.3;3.5;direkt
1218;Differenzierende Analyse und graphische Darstellung des Bewegungsablaufs beider Augen bei Augenmuskelstörungen, mindestens 36 Blickrichtungen pro Auge;700;I;aerztlich;2.3;3.5;direkt
1225;Kampimetrie (z.B. Bjerrum) - auch Perimetrie nach Förster -;121;I;aerztlich;2.3;3.5;direkt
1226;Projektionsperimetrie mit Marken verschiedener Reizwerte;182;I;aerztlich;2.3;3.5;direkt
1227;Quantitativ abgestufte (statische) Profilperimetrie;248;I;aerztlich;2.3;3.5;direkt
1228;Farbsinnprüfung mit Pigmentproben (z.B. Farbtafeln);61;I;aerztlich;2.3;3.5;direkt
1229;Farbsinnprüfung mit Anomaloskop;182;I;aerztlich;2.3;3.5;direkt
1233;Vollständige Untersuchung des zeitlichen Ablaufs der Adaptation;484;I;aerztlich;2.3;3.5;direkt
1234;Untersuchung des Dämmerungssehens ohne Blendung;91;I;aerztlich;2.3;3.5;direkt
1235;Untersuchung des Dämmerungssehens während der Blendung;91;I;aerztlich;2.3;3.5;direkt
1236;Untersuchung des Dämmerungssehens nach der Blendung (Readaptation);91;I;aerztlich;2.3;3.5;direkt
1237;Elektroretinographische Untersuchung (ERG) und/oder elektrookulographische Untersuchung (EOG);600;I;aerztlich;2.3;3.5;direkt
1240;Spaltlampenmikroskopie der vorderen und mittleren Augenabschnitte - gegebenenfalls einschließlich der binokularen Untersuchung des hinteren Poles (z.B. Hruby-Linse) -;74;I;aerztlich;2.3;3.5;direkt
1241;Gonioskopie;152;I;aerztlich;2.3;3.5;direkt
1242;Binokulare Untersuchung des Augenhintergrundes einschließlich der äußeren Peripherie (z.B. Dreispiegelkontaktglas, Schaepens) - gegebenenfalls einschließlich der Spaltlampenmikroskopie der vorderen und mittleren Augenabschnitte und/oder diasklerale Durchleuchtung -;152;I;aerztlich;2.3;3.5;direkt
1243;Diasklerale Durchleuchtung;61;I;aerztlich;2.3;3.5;direkt
1244;Exophthalmometrie;50;I;aerztlich;2.3;3.5;direkt
1248;Fluoreszenzuntersuchung der terminalen Strombahn am Augenhintergrund - einschließlich Applikation des Teststoffes -;242;I;aerztlich;2.3;3.5;direkt
1249;Fluoreszenzangiographische Untersuchung der terminalen Strombahn am Augenhintergrund - einschließlich Aufnahmen und Applikation des Teststoffes -;484;I;aerztlich;2.3;3.5;direkt
1250;Lokalisation eines Fremdkörpers nach Comberg oder Vogt;273;I;aerztlich;2.3;3.5;direkt
1251;Lokalisation einer Netzhautveränderung als Voraussetzung für einen gezielten intraokularen Eingriff;273;I;aerztlich;2.3;3.5;direkt
1252;Fotographische Verlaufskontrolle intraokularer Veränderungen mittels Spaltlampenfotografie;100;I;aerztlich;2.3;3.5;direkt
1253;Fotographische Verlaufskontrolle von Veränderungen des Augenhintergrunds mittels Fundusfotografie;150;I;aerztlich;2.3;3.5;direkt
1255;Tonometrische Untersuchung mit Anwendung des Impressionstonometers;70;I;technisch;1.8;2.5;direkt
1256;Tonometrische Untersuchung mit Anwendung des Applanationstonometers;100;I;technisch;1.8;2.5;direkt
1257;Tonometrische Untersuchung (mehrfach in zeitlichem Zusammenhang zur Anfertigung tonometrischer Kurven, mindestens vier Messungen) - auch fortlaufende Tonometrie zur Ermittlung des Abflußwiderstandes -;242;I;technisch;1.8;2.5;direkt
1259;Pupillographie;242;I;technisch;1.8;2.5;direkt
1260;Elektromyographie der äußeren Augenmuskeln;560;I;technisch;1.8;2.5;direkt
1262;Ophthalmodynamometrie - gegebenenfalls einschließlich Tonometrie -, erste Messung;242;I;technisch;1.8;2.5;direkt
1263;Ophthalmodynamometrie - gegebenenfalls einschließlich Tonometrie -, jede weitere Messung;152;I;technisch;1.8;2.5;direkt
1268;Aktive Behandlung der Schwachsichtigkeit (Pleoptik) mittels Spezial-Ophthalmoskop, Mindestdauer 20 Minuten;152;I;technisch;1.8;2.5;direkt
1269;Behandlung der gestörten Binokularfunktion (Orthoptik) mit Geräten nach dem Prinzip des Haploskops (z.B. Synoptophor, Amblyoskop), Mindestdauer 20 Minuten;152;I;technisch;1.8;2.5;direkt
1270;Unterstützende oder ergänzende pleoptische oder orthoptische Behandlung an optischen Zusatz- oder Übungsgeräten, Mindestdauer 20 Minuten;54;I;technisch;1.8;2.5;direkt
1271;Auswahl und Einprobieren eines künstlichen Auges;46;I;aerztlich;2.3;3.5;direkt
1275;Entfernung von oberflächlichen Fremdkörpern von der Bindehaut und/oder der Hornhaut;37;I;aerztlich;2.3;3.5;direkt
1276;Instrumentelle Entfernung von Fremdkörpern von der Hornhautoberfläche, aus der Lederhaut und/oder von eingebrannten Fremdkörpern aus der Bindehaut und/oder der Hornhaut;74;I;aerztlich;2.3;3.5;direkt
1277;Entfernung von eisenhaltigen eingebrannten Fremdkörpern aus der Hornhaut mit Ausfräsen des Rostringes;152;I;aerztlich;2.3;3.5;direkt
1278;Entfernung von eingespießten Fremdkörpern aus der Hornhaut mittels Präparation;278;I;aerztlich;2.3;3.5;direkt
1279;Entfernung von Korneoskleralfäden;100;I;aerztlich;2.3;3.5;direkt
1280;Entfernung von eisenhaltigen Fremdkörpern aus dem Augeninnern mit Hilfe des Magneten - einschließlich Eröffnung des Augapfels -;1290;I;aerztlich;2.3;3.5;direkt
1281;Entfernung von nichtmagnetischen Fremdkörpern oder einer Geschwulst aus dem Augeninnern;2220;I;aerztlich;2.3;3.5;direkt
1282;Entfernung einer Geschwulst oder von Kalkinfarkten aus den Lidern eines Auges oder aus der Augapfelbindehaut;152;I;aerztlich;2.3;3.5;direkt
1283;Entfernung von Fremdkörpern oder einer Geschwulst aus der Augenhöhle ohne Resektion der Orbitalwand und ohne Muskelablösung;554;I;aerztlich;2.3;3.5;direkt
1284;Entfernung von Fremdkörpern oder einer Geschwulst aus der Augenhöhle ohne Resektion der Orbitalwand mit Muskelablösung;924;I;aerztlich;2.3;3.5;direkt
1285;Entfernung von Fremdkörpern oder einer Geschwulst aus der Augenhöhle mit Resektion der Orbitalwand;1480;I;aerztlich;2.3;3.5;direkt
1290;Vorbereitende operative Maßnahmen zur Rekonstruktion einer Orbita unter Verwendung örtlichen Materials, ausgenommen das knöcherne Gerüst;1500;I;aerztlich;2.3;3.5;direkt
1291;Wiederherstellungsoperation an der knöchernen Augenhöhle (z.B. nach Fraktur);1850;I;aerztlich;2.3;3.5;direkt
1292;Operation der Augenhöhlen- oder Tränensackphlegmone;278;I;aerztlich;2.3;3.5;direkt
1293;Dehnung, Durchspülung, Sondierung, Salbenfüllung oder Kaustik der Tränenwege, auch beidseitig;74;I;aerztlich;2.3;3.5;direkt
1294;Sondierung des Tränennasengangs bei Säuglingen und Kleinkindern, auch beidseitig;130;I;aerztlich;2.3;3.5;direkt
1297;Operation des evertierten Tränenpünktchens;152;I;aerztlich;2.3;3.5;direkt
1298;Spaltung von Strikturen des Tränennasenkanals;132;I;aerztlich;2.3;3.5;direkt
1299;Tränensackexstirpation;554;I;aerztlich;2.3;3.5;direkt
1300;Tränensackoperation zur Wiederherstellung des Tränenabflusses zur Nase mit Knochenfensterung;1220;I;aerztlich;2.3;3.5;direkt
1301;Exstirpation oder Verödung der Tränendrüse;463;I;aerztlich;2.3;3.5;direkt
1302;Plastische Korrektur der verengten oder erweiterten Lidspalte oder des Epikanthus;924;I;aerztlich;2.3;3.5;direkt
1303;Vorübergehende Spaltung der verengten Lidspalte;230;I;aerztlich;2.3;3.5;direkt
1304;Plastische Korrektur des Ektropiums oder Entropiums, der Trichiasis oder Distichiasis;924;I;aerztlich;2.3;3.5;direkt
1305;Operation der Lidsenkung (Ptosis);739;I;aerztlich;2.3;3.5;direkt
1306;Operation der Lidsenkung (Ptosis) mit direkter Lidheberverkürzung;1110;I;aerztlich;2.3;3.5;direkt
1310;Augenlidplastik mittels freien Hauttransplantates;1480;I;aerztlich;2.3;3.5;direkt
1311;Augenlidplastik mittels Hautlappenverschiebung aus der Umgebung;1110;I;aerztlich;2.3;3.5;direkt
1312;Augenlidplastik mittels Hautlappenverschiebung aus der Umgebung und freier Transplantation;1850;I;aerztlich;2.3;3.5;direkt
1313;Abreiben, Skarifizieren oder chemische Ätzung der Bindehaut, auch beidseitig;30;I;aerztlich;2.3;3.5;direkt
1318;Ausrollen oder Ausquetschen der Übergangsfalte;74;I;aerztlich;2.3;3.5;direkt
1319;Plastische Wiederherstellung des Bindehautsackes durch Transplantation von Lippenschleimhaut und/oder Bindehaut bei erhaltenem Augapfel - einschließlich Entnahme des Transplantates und gegebenenfalls einschließlich Maßnahmen am Lidknorpel -;1850;I;aerztlich;2.3;3.5;direkt
1320;Einspritzung unter die Bindehaut;52;I;aerztlich;2.3;3.5;direkt
1321;Operation des Flügelfells;296;I;aerztlich;2.3;3.5;direkt
1322;Operation des Flügelfells mit lamellierender Keratoplastik;1660;I;aerztlich;2.3;3.5;direkt
1323;Elektrolytische Epilation von Wimpernhaaren, je Sitzung;67;I;aerztlich;2.3;3.5;direkt
1325;Naht einer Bindehaut- oder nicht perforierenden Hornhaut- oder nicht perforierenden Lederhautwunde;230;I;aerztlich;2.3;3.5;direkt
1326;Direkte Naht einer perforierenden Hornhaut- oder Lederhautwunde - auch mit Reposition oder Abtragung der Regenbogenhaut und gegebenenfalls mit Bindehautdeckung -;1110;I;aerztlich;2.3;3.5;direkt
1327;Wiederherstellungsoperation bei perforierender Hornhaut- oder Lederhautverletzung mit Versorgung von Regenbogenhaut und Linse;1850;I;aerztlich;2.3;3.5;direkt
1328;Wiederherstellungsoperation bei schwerverletztem Augapfel, Zerschneidung von Hornhaut und Lederhaut, Beteiligung der Iris, der Linse, des Glaskörpers und der Netzhaut;3230;I;aerztlich;2.3;3.5;direkt
1330;Korrektur einer Schielstellung durch Eingriff an einem geraden Augenmuskel;739;I;aerztlich;2.3;3.5;direkt
1331;Korrektur einer Schielstellung durch Eingriff an jedem weiteren geraden Augenmuskel, zusätzlich zu Nummer 1330;554;I;aerztlich;2.3;3.5;direkt
1332;Korrektur einer Schielstellung durch Eingriff an einem schrägen Augenmuskel;1110;I;aerztlich;2.3;3.5;direkt
1333;Korrektur einer Schielstellung durch Eingriff an jedem weiteren schrägen Augenmuskel, zusätzlich zu Nummer 1332;739;I;aerztlich;2.3;3.5;direkt
1338;Chemische Ätzung der Hornhaut;56;I;aerztlich;2.3;3.5;direkt
1339;Abschabung der Hornhaut;148;I;aerztlich;2.3;3.5;direkt
1340;Thermo- oder Kryotherapie von Hornhauterkrankungen (z.B. Herpes ulcus) mit Epithelentfernung;185;I;aerztlich;2.3;3.5;direkt
1341;Tätowierung der Hornhaut;333;I;aerztlich;2.3;3.5;direkt
1345;Hornhautplastik;1660;I;aerztlich;2.3;3.5;direkt
1346;Hornhauttransplantation;2770;I;aerztlich;2.3;3.5;direkt
1347;Einpflanzung einer optischen Kunststoffprothese in die Hornhaut (Keratoprothesis);3030;I;aerztlich;2.3;3.5;direkt
1348;Diszision der klaren oder getrübten Linse oder des Nachstars;832;I;aerztlich;2.3;3.5;direkt
1349;Operation des weichen Stars (Saug-Spül-Vorgang) - gegebenenfalls mit Extraktion zurückgebliebener Linsenteile -;1850;I;aerztlich;2.3;3.5;direkt
1350;Staroperation - gegebenenfalls mit Iridektomie - einschließlich Nahttechnik;2370;I;aerztlich;2.3;3.5;direkt
1351;Staroperation mit Iridektomie und Einpflanzung einer intraokularen Kunststofflinse;2770;I;aerztlich;2.3;3.5;direkt
1352;Einpflanzung einer intraokularen Linse, als selbständige Leistung;1800;I;aerztlich;2.3;3.5;direkt
1353;Extraktion einer eingepflanzten Linse;832;I;aerztlich;2.3;3.5;direkt
1354;Extraktion der luxierten Linse;2220;I;aerztlich;2.3;3.5;direkt
1355;Partielle oder totale Extraktion des Nachstars;1110;I;aerztlich;2.3;3.5;direkt
1356;Eröffnung (Parazentese), Spülung oder Wiederherstellung der Augenvorderkammer, als selbständige Leistung;370;I;aerztlich;2.3;3.5;direkt
1357;Hintere Sklerotomie;370;I;aerztlich;2.3;3.5;direkt
1358;Zyklodialyse, Iridektomie;1000;I;aerztlich;2.3;3.5;direkt
1359;Zyklodiathermie-Operation oder Kryozyklothermie-Operation;500;I;aerztlich;2.3;3.5;direkt
1360;Laseroperation am Trabekelwerk des Auges bei Glaukom (Lasertrabekuloplastik);1000;I;aerztlich;2.3;3.5;direkt
1361;Fistelbildende Operation und Eingriff an den kammerwasserabführenden Wegen bei Glaukom;1850;I;aerztlich;2.3;3.5;direkt
1362;Kombinierte Operation des Grauen Stars und bei Glaukom;3030;I;aerztlich;2.3;3.5;direkt
1365;Lichtkoagulation zur Verhinderung einer Netzhautablösung und/oder Netzhautblutung, je Sitzung;924;I;aerztlich;2.3;3.5;direkt
1366;Vorbeugende Operation zur Verhinderung einer Netzhautablösung oder operativer Eingriff bei vaskulären Netzhauterkrankungen;1110;I;aerztlich;2.3;3.5;direkt
1367;Operation einer Netzhautablösung mit eindellenden Maßnahmen;2220;I;aerztlich;2.3;3.5;direkt
1368;Operation einer Netzhautablösung mit eindellenden Maßnahmen und Glaskörperchirurgie;3030;I;aerztlich;2.3;3.5;direkt
1369;Koagulation oder Lichtkaustik eines Netz- oder Aderhauttumors;1850;I;aerztlich;2.3;3.5;direkt
1370;Operative Entfernung des Augapfels;924;I;aerztlich;2.3;3.5;direkt
1371;Operative Entfernung des Augapfels mit Einsetzung einer Plombe;1290;I;aerztlich;2.3;3.5;direkt
1372;Wiederherstellung eines prothesenfähigen Bindehautsackes mittels Transplantation;1850;I;aerztlich;2.3;3.5;direkt
1373;Operative Ausräumung der Augenhöhle;1110;I;aerztlich;2.3;3.5;direkt
1374;Extrakapsuläre Operation des Grauen Stars mittels gesteuerten Saug-Spül-Verfahrens oder Linsenkernverflüssigung (Phakoemulsifikation) - gegebenenfalls einschließlich Iridektomie -;3050;I;aerztlich;2.3;3.5;direkt
1375;Extrakapsuläre Operation des Grauen Stars mittels gesteuerten Saug-Spül-Verfahrens oder Linsenkernverflüssigung (Phakoemulsifikation) - gegebenenfalls einschließlich Iridektomie -, mit Implantation einer intraokularen Linse;3500;I;aerztlich;2.3;3.5;direkt
1376;Rekonstruktion eines abgerissenen Tränenröhrchens;1480;I;aerztlich;2.3;3.5;direkt
1377;Entfernung einer Silikon-/Silastik-/ Rutheniumplombe;280;I;aerztlich;2.3;3.5;direkt
1380;Operative Entfernung eines Iristumors;2000;I;aerztlich;2.3;3.5;direkt
1381;Operative Entfernung eines Iris-Ziliar-Aderhauttumors (Zyklektomie);2770;I;aerztlich;2.3;3.5;direkt
1382;Goniotrepanation oder Trabekulektomie oder Trabekulotomie bei Glaukom;2500;I;aerztlich;2.3;3.5;direkt
1383;Vitrektomie, Glaskörperstrangdurchtrennung, als selbständige Leistung;2500;I;aerztlich;2.3;3.5;direkt
1384;Vordere Vitrektomie (Glaskörperentfernung aus der Augenvorderkammer), als selbständige Leistung;830;I;aerztlich;2.3;3.5;direkt
1386;Aufnähen einer Rutheniumplombe auf die Lederhaut;1290;I;aerztlich;2.3;3.5;direkt
1400;Genaue Hörprüfung mit Einschluß des Tongehörs (Umgangs- und Flüstersprache, Luft- und Knochenleitung);76;J;aerztlich;2.3;3.5;direkt
