# GOAE-Leistungskatalog fuer den Abrechnungskalkulator
#
# Quelle: Gebührenordnung für Ärzte (GOÄ)
#   amtliche Fassung von "Gesetze im Internet"
#   https://www.gesetze-im-internet.de/go__1982/
#   Datei BJNR015220982.xml, abgerufen 2026-05-14
# Stand: Neugefasst durch Bek. v. 9.2.1996 I 210; zuletzt geändert durch Art. 3b G v. 19.7.2023 I Nr. 197
#
# Erzeugt mit werkzeuge/katalog_erzeugen.py - nicht von Hand aendern.
# Eigene Ziffern gehoeren in eine zusaetzliche Datei und werden mit
#   kalkulator.py katalog-import <datei.csv>
# eingespielt.
#
# Der Eurobetrag ergibt sich nach § 5 Abs. 1 GOAE aus
#   Punktzahl x 0,0582873 EUR x Steigerungsfaktor.
# Die Betragsspalte des amtlichen Verzeichnisses ist noch in DM gefuehrt und
# daher hier nicht enthalten.
#
# Spalten:
#   nummer        GOAE-Nummer
#   bezeichnung   Leistungslegende (Leerzeichen normiert, sonst unveraendert)
#   punktzahl     Punktzahl nach dem Gebuehrenverzeichnis
#   abschnitt     Abschnitt B bis P des Gebuehrenverzeichnisses
#   klasse        Steigerungsklasse nach § 5 GOAE:
#                   aerztlich  Abs. 2  - Regelsatz 2,3   Hoechstsatz 3,5
#                   technisch  Abs. 3  - Regelsatz 1,8   Hoechstsatz 2,5
#                              (Abschnitte A, E und O)
#                   labor      Abs. 4  - Regelsatz 1,15  Hoechstsatz 1,3
#                              (Abschnitt M und Nummer 437)
#   regelsatz     Schwellenwert; darueber ist eine Begruendung noetig (§ 12 GOAE)
#   hoechstsatz   Hoechstsatz der Steigerungsklasse
#   herkunft      direkt = Punktzahl steht im Verzeichnis bei dieser Nummer
#                 sammel = Nummer gehoert zu einer Sammelposition; die Punktzahl
#                          steht in deren Ueberschrift ("... je Messgroesse 70
#                          7,98 Katalog 3512 ... 3514 Glukose ...")
nummer;bezeichnung;punktzahl;abschnitt;klasse;regelsatz;hoechstsatz;herkunft
28;Untersuchung eines Mannes zur Früherkennung von Krebserkrankungen des Rektums, der Prostata, des äußeren Genitales und der Haut - einschließlich Erhebung der Anamnese, Urinuntersuchung auf Eiweiß, Zucker und Erythrozyten sowie Untersuchung auf Blut im Stuhl, einschließlich Beratung -;280;B;aerztlich;2.3;3.5;direkt
29;Gesundheitsuntersuchung zur Früherkennung von Krankheiten bei einem Erwachsenen - einschließlich Untersuchung zur Erhebung des vollständigen Status (Ganzkörperstatus), Erörterung des individuellen Risikoprofils und verhaltensmedizinischer orientierter Beratung -;440;B;aerztlich;2.3;3.5;direkt
30;Erhebung der homöopathischen Erstanamnese mit einer Mindestdauer von einer Stunde nach biographischen und homöopathischindividuellen Gesichtspunkten mit schriftlicher Aufzeichnung zur Einleitung einer homöopathischen Behandlung -einschließlich homöopathischer Repertorisation und Gewichtung der charakteristischen psychischen, allgemeinen und lokalen Zeichen und Symptome des jeweiligen Krankheitsfalls, unter Berücksichtigung der Modalitäten, Alternanzen, Kausal- und Begleitsymptome, zur Auffindung des homöopathischen Einzelmittels, einschließlich Anwendung und Auswertung standardisierter Fragebogen -;900;B;aerztlich;2.3;3.5;direkt
31;Homöopathische Folgeanamnese mit einer Mindestdauer von 30 Minuten unter laufender Behandlung nach den Regeln der Einzelmittelhomöopathie zur Beurteilung des Verlaufs und Feststellung des weiteren Vorgehens - einschließlich schriftlicher Aufzeichnungen -;450;B;aerztlich;2.3;3.5;direkt
32;"Untersuchung nach den §§ 32 bis 35 und 42 des Jugendarbeitsschutzgesetzes (Eingehende, das gewöhnliche Maß übersteigende Untersuchung - einschließlich einfacher Seh-, Hör- und Farbsinnprüfung -; Urinuntersuchung auf Eiweiß, Zucker und Erythrozyten; Beratung des Jugendlichen; schriftliche gutachtliche Äußerung; Mitteilung für die Personensorgeberechtigten; Bescheinigung für den Arbeitgeber)";400;B;aerztlich;2.3;3.5;direkt
33;Strukturierte Schulung einer Einzelperson mit einer Mindestdauer von 20 Minuten (bei Diabetes, Gestationsdiabetes oder Zustand nach Pankreatektomie) - einschließlich Evaluation zur Qualitätssicherung unter diabetologischen Gesichtspunkten zum Erlernen und Umsetzen des Behandlungsmanagements, einschließlich der Auswertung eines standardisierten Fragebogens -;300;B;aerztlich;2.3;3.5;direkt
34;Erörterung (Dauer mindestens 20 Minuten) der Auswirkungen einer Krankheit auf die Lebensgestaltung in unmittelbarem Zusammenhang mit der Feststellung oder erheblichen Verschlimmerung einer nachhaltig lebensverändernden oder lebensbedrohenden Erkrankung - gegebenenfalls einschließlich Planung eines operativen Eingriffs und Abwägung seiner Konsequenzen und Risiken -, einschließlich Beratung - gegebenenfalls unter Einbeziehung von Bezugspersonen -;300;B;aerztlich;2.3;3.5;direkt
45;Visite im Krankenhaus;70;B;aerztlich;2.3;3.5;direkt
46;Zweitvisite im Krankenhaus;50;B;aerztlich;2.3;3.5;direkt
48;Besuch eines Patienten auf einer Pflegestation (z.B. in Alten- oder Pflegeheimen - bei regelmäßiger Tätigkeit des Arztes auf der Pflegestation zu vorher vereinbarten Zeiten -;120;B;aerztlich;2.3;3.5;direkt
50;Besuch, einschließlich Beratung und symptombezogene Untersuchung;320;B;aerztlich;2.3;3.5;direkt
51;Besuch eines weiteren Kranken in derselben häuslichen Gemeinschaft in unmittelbarem zeitlichen Zusammenhang mit der Leistung nach Nummer 50 - einschließlich Beratung und symptombezogener Untersuchung -;250;B;aerztlich;2.3;3.5;direkt
52;Aufsuchen eines Patienten außerhalb der Praxisräume oder des Krankenhauses durch nichtärztliches Personal im Auftrag des niedergelassenen Arztes (z.B. zur Durchführung von kapillaren oder venösen Blutentnahmen, Wundbehandlungen, Verbandwechsel, Katheterwechsel);100;B;aerztlich;2.3;3.5;direkt
55;Begleitung eines Patienten durch den behandelnden Arzt zur unmittelbar notwendigen stationären Behandlung - gegebenenfalls einschließlich organisatorischer Vorbereitung der Krankenhausaufnahme -;500;B;aerztlich;2.3;3.5;direkt
56;Verweilen, ohne Unterbrechung und ohne Erbringung anderer ärztlicher Leistungen -wegen Erkrankung erforderlich -, je angefangene halbe Stunde;180;B;technisch;1.8;2.5;direkt
